# iterations;evaluations;p_advantages;m_advantages;p_dist_sup;p_dist_mean;m_dist_sup;m_dist_mean;alfa;beta;p_change;m_change;bound;adv_budget;adv_disadvantage;adv_dist_sup;adv_dist_mean
3.000000000000000000000000000000e+01;9.275169851846857271837620828592e-01;7.902823360953799003425501723541e-01;1.389640870297980557168671111867e+00;2.000000000000000000000000000000e+00;1.474638453202505417038992163725e+00;1.973250818204255185861484278576e+00;1.705116940235321454366612670128e+00;0.000000000000000000000000000000e+00;4.407135606454134157082547229578e-04;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;-1.612600045033889652537628656148e-03;1.011805206878442497941961164543e-03;8.336945304700965099498066734895e-04;2.023610413757044590443712195338e-03;2.023610413756957854269913354983e-03
3.100000000000000000000000000000e+01;9.318274553037934060384372969565e-01;7.875557026504090840646199467301e-01;1.386277888918935996542813882115e+00;2.000000000000000000000000000000e+00;1.473743078303387576966088090558e+00;1.972381179810117624029430771770e+00;1.703624877193964382016133640718e+00;0.000000000000000000000000000000e+00;4.402260816060175126381015520138e-04;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;-1.615180870070039584676657717921e-03;1.012201104836121237293133923174e-03;8.350244477047133288827307495694e-04;2.024402209672308827759223959220e-03;2.024402209672232066245411985506e-03
3.200000000000000000000000000000e+01;9.361264268971413171627204974357e-01;7.848453051074775199680289006210e-01;1.382932651722225347867833988857e+00;2.000000000000000000000000000000e+00;1.472851145107228809649768663803e+00;1.971512886171896683507043235295e+00;1.702136952146420911802238151722e+00;0.000000000000000000000000000000e+00;4.397412499655193695961841182651e-04;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;-1.617755499271797967400510209757e-03;1.012597157700289955684080922538e-03;8.363456712214673537120201984862e-04;2.025194315400646698221986952149e-03;2.025194315400578176644685868268e-03
3.300000000000000000000000000000e+01;9.404139649734113426404746860499e-01;7.821510125972988003439922977122e-01;1.379605019708390889476845586614e+00;2.000000000000000000000000000000e+00;1.471962632540305460082663557841e+00;1.970645930631008235778267589922e+00;1.700653141084768726898346358212e+00;0.000000000000000000000000000000e+00;4.392590474695581273176236969391e-04;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;-1.620324002867959368653916207847e-03;1.012993365531560108205866299613e-03;8.376582848230217440144151908044e-04;2.025986731063127155305636506455e-03;2.025986731063080317771785132663e-03
3.400000000000000000000000000000e+01;9.446901340135969160627382734674e-01;7.794726956021225117154926920193e-01;1.376294855293477503721533139469e+00;2.000000000000000000000000000000e+00;1.471077519708726910607765603345e+00;1.969780306576619732794597439351e+00;1.699173420199747042147464526352e+00;0.000000000000000000000000000000e+00;4.387794560318539704123208533559e-04;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;-1.622886450267298956776085283593e-03;1.013389728390566785556914375377e-03;8.389623713744291015961818125390e-04;2.026779456781167831902479292694e-03;2.026779456781160025646837397062e-03
3.500000000000000000000000000000e+01;9.489549979765410370191602851264e-01;7.768102259386703289933961968927e-01;1.373002022291315959989788098028e+00;2.000000000000000000000000000000e+00;1.470195785896473150700103360577e+00;1.968916007445197235981027006346e+00;1.697697765878634967862126359250e+00;0.000000000000000000000000000000e+00;4.383024577322824216762953142279e-04;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;-1.625442910069133497022453305192e-03;1.013786246337969364564313146104e-03;8.402580128146622858581471504635e-04;2.027572492676046715665005848450e-03;2.027572492675865437061766272109e-03
3.600000000000000000000000000000e+01;9.532086203043886873942369675206e-01;7.741634767413341222663802909665e-01;1.369726385896080422810427990044e+00;2.000000000000000000000000000000e+00;1.469317410563470760465065723110e+00;1.968053026720065767918299570738e+00;1.696226154703172728233084853855e+00;0.000000000000000000000000000000e+00;4.378280348149737898934275026619e-04;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;-1.627993450075749561067883774967e-03;1.014182919434450423981641797866e-03;8.415452901699635446242098169023e-04;2.028365838868897812197200636319e-03;2.028365838868849673620742279923e-03
3.700000000000000000000000000000e+01;9.574510639279840695792245242046e-01;7.715323224456120954073412576690e-01;1.366467812665084213819000069634e+00;2.000000000000000000000000000000e+00;1.468442373343675555474874272477e+00;1.967191357930965223133057406812e+00;1.694758563447485988362473108282e+00;0.000000000000000000000000000000e+00;4.373561696864399395319467078735e-04;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;-1.630538137303613310108429956813e-03;1.014579747740716828691143192032e-03;8.428242835651568627686192058945e-04;2.029159495481545547046486888121e-03;2.029159495481426284807513482633e-03
3.800000000000000000000000000000e+01;9.616823912721932376967970412807e-01;7.689166387718036066445392862079e-01;1.363226170501846024052383654634e+00;2.000000000000000000000000000000e+00;1.467570654043197198035386463744e+00;1.966330994653620489742706922698e+00;1.693294969076060141333073261194e+00;0.000000000000000000000000000000e+00;4.368868449137248586786053117237e-04;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;-1.633077037993749345418104113037e-03;1.014976731317498645501551379766e-03;8.440950722358160716179975580076e-04;2.029953462635175967521128370663e-03;2.029953462635112650114255217204e-03
3.900000000000000000000000000000e+01;9.659026642611543422844988526776e-01;7.663163027089410217485010434757e-01;1.360001328639400153264205073356e+00;2.000000000000000000000000000000e+00;1.466702232638440683842873113463e+00;1.965471930509310016788049324532e+00;1.691835348741727473864671082993e+00;0.000000000000000000000000000000e+00;4.364200432225827114979255227922e-04;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;-1.635610217623022048794023675100e-03;1.015373870225550010509829590433e-03;8.453577345398769794793114584763e-04;2.030747740451170711001305235754e-03;2.030747740451149894319593514069e-03
