# iterations;evaluations;p_advantages;m_advantages;p_dist_sup;p_dist_mean;m_dist_sup;m_dist_mean;alfa;beta;p_change;m_change;bound;adv_budget;adv_disadvantage;adv_dist_sup;adv_dist_mean
3.700000000000000000000000000000e+01;9.614564698891003846625835649320e-01;7.722078189909830081560926373641e-01;1.366813351300024459433757328952e+00;2.000000000000000000000000000000e+00;1.466540597953305935519097147335e+00;1.967157605351647076119547818962e+00;1.693774620737022784666692132305e+00;0.000000000000000000000000000000e+00;4.377284062920048894607116807265e-04;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;2.349985096712514805704363762828e-04;1.850000000000000244509273938931e-04;1.547292830723382903168605650990e-04;3.700000000001572040067565616539e-04;3.700000000000503016725494909167e-04
3.800000000000000000000000000000e+01;9.656764772692765230743816573522e-01;7.695764725264390149206406022131e-01;1.363558732323770783523286809213e+00;2.000000000000000000000000000000e+00;1.465677839152611738882114877924e+00;1.966296524588130978372646495700e+00;1.692314831985129774949427883257e+00;0.000000000000000000000000000000e+00;4.372541827366012261169014863071e-04;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;2.304485569367808865150204500338e-04;1.900000000000000104603825601401e-04;1.590802775275649769137764621973e-04;3.800000000002073203761443487281e-04;3.800000000001168979149590576583e-04
3.900000000000000000000000000000e+01;9.698852711330824272195627600013e-01;7.669607133757061490086925914511e-01;1.360321133937864468421707897505e+00;2.000000000000000000000000000000e+00;1.464818406953102281065071110788e+00;1.965436753208254616609451659315e+00;1.690859043430933628116008549114e+00;0.000000000000000000000000000000e+00;4.367825341269985779495133026984e-04;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;2.258119009940530983772399853393e-04;1.949999999999999964698377263872e-04;1.634384530617726308775183863276e-04;3.900000000000430899760317515756e-04;3.900000000000092628682502038373e-04
4.000000000000000000000000000000e+01;9.740829143516377408573703178263e-01;7.643604166222246476536383852363e-01;1.357100423700509317370688222582e+00;2.000000000000000000000000000000e+00;1.463962281100641416031749031390e+00;1.964578284762521720452355111775e+00;1.689407232024873417586263713019e+00;0.000000000000000000000000000000e+00;4.363134427894257527484611625113e-04;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;2.210884764107927413258336546420e-04;2.000000000000000095843472047719e-04;1.678036948381207216825922179382e-04;3.999999999999779556544843295285e-04;3.999999999999659210103697404293e-04
4.100000000000000000000000000000e+01;9.782694692892346388646274135681e-01;7.617754586311215048155531803786e-01;1.353896470509443616947464761324e+00;2.000000000000000000000000000000e+00;1.463109441512743469360202652751e+00;1.963721112847467642481547045463e+00;1.687959374906826015561023268674e+00;0.000000000000000000000000000000e+00;4.358468912119095963787762659791e-04;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;2.162782185245697012029170158698e-04;2.050000000000000226988566831565e-04;1.721758895635486610094927462100e-04;4.100000000000107247891123485317e-04;4.099999999999676277527560497305e-04
4.200000000000000000000000000000e+01;9.824449978086087220674471609527e-01;7.592057170331437676580321749498e-01;1.350709144585300336416366917547e+00;2.000000000000000000000000000000e+00;1.462259868276719387836237729061e+00;1.962865231105226149210807307099e+00;1.686515449404101474328854237683e+00;0.000000000000000000000000000000e+00;4.353828620424338006512920973279e-04;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;2.113810634318310914016303403429e-04;2.100000000000000087083118494036e-04;1.765549254671109496734465738044e-04;4.200000000000434939237403675349e-04;4.200000000000214846196389117949e-04
4.300000000000000000000000000000e+01;9.866095612761563993231561653374e-01;7.566510707088197618119806975301e-01;1.347538317455198697558671483421e+00;2.000000000000000000000000000000e+00;1.461413541647844205328965472290e+00;1.962010633223103983624469037750e+00;1.685075433029466385193018140853e+00;0.000000000000000000000000000000e+00;4.349213380871195036569964997852e-04;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;2.063969479771872212077454822321e-04;2.150000000000000218228213277882e-04;1.809406922778575559519059767766e-04;4.300000000000762088482597622630e-04;4.299999999999965741986907019623e-04
4.400000000000000000000000000000e+01;9.907632205670727776336548231484e-01;7.541113997728678963738957463647e-01;1.344383861936583768326158860873e+00;2.000000000000000000000000000000e+00;1.460570442047544048591589671560e+00;1.961157312933161200874110363657e+00;1.683639303479187221412871622306e+00;0.000000000000000000000000000000e+00;4.344623023084326698950441425495e-04;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;2.013258097428325473117471933193e-04;2.200000000000000349373308061729e-04;1.853330812041772892185403920351e-04;4.400000000001089779828877812662e-04;4.399999999999673811791611743871e-04
4.500000000000000000000000000000e+01;9.949060360704312655499848006002e-01;7.515865855588187427471780210908e-01;1.341245652121303866266543991514e+00;2.000000000000000000000000000000e+00;1.459730550061618448154376892489e+00;1.960305264011795278733529812598e+00;1.682207038631105433523771353066e+00;0.000000000000000000000000000000e+00;4.340057378234151602182377960304e-04;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.961675870382230933448158838317e-04;2.249999999999999938417316602823e-04;1.897319849122722397460893972720e-04;4.500000000001416929074071759942e-04;4.500000000000241111818011230383e-04
4.600000000000000000000000000000e+01;9.990380676942018922659372037742e-01;7.490765106038763665452506756992e-01;1.338123563359912449044486493221e+00;2.000000000000000000000000000000e+00;1.458893846438470642823403977673e+00;1.959454480279328780767400530749e+00;1.680778616542731196403792637284e+00;0.000000000000000000000000000000e+00;4.335516279019390579151094211596e-04;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.909222188899412737603245027174e-04;2.300000000000000069562411386670e-04;1.941372975054913945208018288824e-04;4.600000000001744620420351949974e-04;4.600000000000128074981176062863e-04
