# iterations;evaluations;p_advantages;m_advantages;p_dist_sup;p_dist_mean;m_dist_sup;m_dist_mean;alfa;beta;p_change;m_change;bound;w_current[0];w_current[1];w_target[0];w_target[1]
2.000000000000000000000000000000e+01;6.091190307350144439446637534274e-02;4.267337181538309598405334099880e-02;1.329033760027132564200680331368e-04;1.533428778156889160655396153743e+00;1.334678485729866359577044931939e+00;8.000000000000000444089209850063e-01;1.109692338727085447747100488414e-01;2.316723376769104329742088310695e-03;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;4.943119902512893245639935546620e-05;5.000000000000000000000000000000e-01;5.000000000000000000000000000000e-01;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00
2.100000000000000000000000000000e+01;6.177165945502369193143010761560e-02;4.281865715759786139571474450349e-02;1.466566685439199579140540086186e-04;1.529876247859922600014215277042e+00;1.331213609188544921835273271427e+00;8.000000000000000444089209850063e-01;1.109075451625394087562526124202e-01;2.336073392518984905702472687494e-03;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;5.001376284462847297569015880825e-05;5.000000000000000000000000000000e-01;5.000000000000000000000000000000e-01;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00
2.200000000000000000000000000000e+01;6.264243312579362288339268616255e-02;4.296159622881492307078232784079e-02;1.606176638777046786123875454777e-04;1.526302344663450272221894010727e+00;1.327723023299869575808429544850e+00;8.000000000000000444089209850063e-01;1.108449110814882371256473447829e-01;2.355536521271889890266626466087e-03;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;5.059880446455512341972018952596e-05;5.000000000000000000000000000000e-01;5.000000000000000000000000000000e-01;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00
2.300000000000000000000000000000e+01;6.352429134796186427358577475388e-02;4.310212889748504111464555421662e-02;1.747862664882701613094928561054e-04;1.522707083748092715680400033307e+00;1.324206710244267171106002933811e+00;8.000000000000000444089209850063e-01;1.107813242898263439428774290718e-01;2.375111811929217497940669545642e-03;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;5.118618773185620472385148893579e-05;5.000000000000000000000000000000e-01;5.000000000000000000000000000000e-01;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00
2.400000000000000000000000000000e+01;6.441729916656774301841892338416e-02;4.324019525227196236727422729018e-02;1.891622805315682333618387822582e-04;1.519090484167374466295541424188e+00;1.320664657995846313909282798704e+00;8.000000000000000444089209850063e-01;1.107167775786082608568960949924e-01;2.394798280920781494152116408713e-03;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;5.177577262840992507880732986791e-05;5.000000000000000000000000000000e-01;5.000000000000000000000000000000e-01;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00
2.500000000000000000000000000000e+01;6.532151932612997868865534201177e-02;4.337573565070960979195291429278e-02;2.037454079427052186946484058083e-04;1.515452568887327267077580472687e+00;1.317096860432127591877815575572e+00;8.000000000000000444089209850063e-01;1.106512638757849442683323104575e-01;2.414594912697085819092146508069e-03;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;5.236741531834853471136584368573e-05;5.000000000000000000000000000000e-01;5.000000000000000000000000000000e-01;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00
2.600000000000000000000000000000e+01;6.623701218740889185010445316948e-02;4.350869076853992184483743699275e-02;2.185352466183661712586377978695e-04;1.511793364824058016893104650080e+00;1.313503317441430562340087817574e+00;8.000000000000000444089209850063e-01;1.105847762523377297849691558440e-01;2.434500660268464500984864073985e-03;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;5.296096820171345852159422440408e-05;5.000000000000000000000000000000e-01;5.000000000000000000000000000000e-01;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00
2.700000000000000000000000000000e+01;6.716383564445643772344851640810e-02;4.363900164966912076369709438950e-02;2.335312886791219590381513127042e-04;1.508112902879204408890245758812e+00;1.309884035027720328159261953260e+00;8.000000000000000444089209850063e-01;1.105173079284269832545106737598e-01;2.454514445791405614222258080304e-03;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;5.355627997451391648616250695802e-05;5.000000000000000000000000000000e-01;5.000000000000000000000000000000e-01;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00
2.800000000000000000000000000000e+01;6.810204504207444109464830717116e-02;4.376660975667726743987273607672e-02;2.487329188164599715754610187446e-04;1.504411217973202763431572748232e+00;1.306239025412724519270568634965e+00;8.000000000000000444089209850063e-01;1.104488522795469412907110040578e-01;2.474635161202309082545403029485e-03;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;5.415319569524680625100324093957e-05;5.000000000000000000000000000000e-01;5.000000000000000000000000000000e-01;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00
2.900000000000000000000000000000e+01;6.905169309380296271960730791761e-02;4.389145702181427438626215575823e-02;2.641394127293181020785239887516e-04;1.500688349076299221707131437142e+00;1.302568307135150149633773253299e+00;8.000000000000000444089209850063e-01;1.103794028426813844667719877179e-01;2.494861668898837054469952434488e-03;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;5.475155685792257802919566489486e-05;5.000000000000000000000000000000e-01;5.000000000000000000000000000000e-01;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00
